# x, y, z, vx, vy, vz,
-2.72769e-05,2.3275e-05,-0.00016788,-0.361045,0.858494,0.187603,
1.97905e-05,-3.24595e-05,-7.4661e-05,0.689303,-0.412586,-0.00880914,
2.53492e-05,-1.51051e-07,0.000181334,0.0196392,-0.813452,-0.0255572,
-3.1961e-05,-1.28451e-05,-2.84118e-05,0.337064,0.924575,-0.00270339,
-4.31719e-05,-1.75903e-05,0.000130421,0.233972,0.989316,0.0947399,
5.0769e-05,-3.41548e-05,-9.53754e-05,1.03467,-1.19877,0.0409391,
-2.21501e-05,3.67542e-05,-0.000145023,-0.941913,0.492689,-0.104928,
-4.50354e-05,-2.28249e-05,-0.000120254,0.568788,1.20287,0.115151,
5.23435e-05,1.46429e-05,-0.000100811,-0.42412,-1.44442,-0.00316789,
2.28989e-05,1.10754e-05,0.000136473,-0.430201,-0.453876,0.0545593,
-3.69231e-05,7.90127e-06,-4.55192e-05,0.0214985,1.15959,-0.0411019,
1.73488e-05,-6.09025e-05,6.42825e-05,1.47384,-0.125271,-0.0406213,
-5.21145e-05,3.19829e-05,9.50161e-05,-0.717387,1.52172,0.0234997,
1.46238e-05,-3.2751e-05,-4.76342e-05,1.28897,0.0350989,-0.0379353,
3.17502e-05,-2.34066e-05,-2.92711e-05,0.837091,-0.895244,-0.157613,
-1.92646e-05,-5.26347e-05,9.28045e-05,1.03216,0.415693,0.165679,
1.60571e-05,3.01566e-05,-7.09779e-05,-0.829527,-0.540898,0.0997645,
-1.32275e-05,6.14069e-05,3.21488e-05,-1.56484,0.411427,0.0619227,
-4.172e-05,-5.01472e-06,-0.000138964,0.332939,1.36369,0.140276,
-1.36053e-05,-3.14297e-05,7.93894e-05,0.954441,0.468992,-0.065321,
-2.8811e-05,2.62645e-05,-6.27178e-05,-0.758516,0.458314,0.00155789,
-9.81314e-06,2.49054e-05,0.000142251,-0.667131,0.286103,-0.0337127,
-4.41591e-06,6.03724e-05,-1.6072e-05,-1.61294,0.369778,-0.122683,
-5.54075e-05,-1.49913e-05,7.73629e-05,0.630395,1.3941,0.0296851,
4.86375e-05,-4.07551e-05,-6.79132e-05,1.01625,-0.966434,-0.019506,
-3.08468e-05,2.23975e-05,-9.07111e-05,-0.551601,1.1888,0.208429,
-3.90323e-05,3.90732e-05,-0.000124592,-0.842298,0.961734,0.0733059,
3.38548e-05,8.3019e-06,-6.35613e-05,-0.376094,-1.19591,-0.0610395,
-2.13278e-05,-1.16955e-05,0.000180612,0.395874,0.833948,0.0179143,
-5.90636e-05,1.84005e-05,3.99718e-05,-0.382222,1.43422,-0.0904459,
3.83721e-05,4.20769e-05,-3.25324e-05,-1.10995,-0.973852,0.0792791,
4.99503e-06,-3.38752e-05,-0.000124353,0.867267,-0.223362,-0.0792561,
4.04207e-05,-5.04912e-05,6.2662e-05,1.34199,-1.13982,-0.0926191,
1.13344e-05,-5.87519e-05,-8.36069e-05,1.50321,-0.427462,0.077348,
